issue,url,title,state,created,closed,labels,thread_type,verdict,duplicate_of,n_causes,cause_ids,categories,strengths,evidence_kinds,n_ruled_out,ruled_out_findings,summary,evidence
1,https://github.com/mrdoob/three.js/issues/1,SVG support?,CLOSED,2010-04-25,2010-04-26,,perf_feature_request,cause_asserted_unverified,,1,O-04,other,speculative,hypothetical,0,,"Discussion of SVG vs Canvas renderer; mrdoob speculates SVG can render without antialiasing, which could boost performance.","mrdoob: ""lets you render without antialias which can boost performance (and <canvas> doesn't have non-antialias option)"""
16,https://github.com/mrdoob/three.js/issues/16,Make vector class chainable,CLOSED,2010-09-26,2010-09-30,,perf_question_or_help,ruled_out_or_no_cause,,0,,,,,1,Returning `this` from Vector3 math methods adds no measurable per-call overhead in hot math loops (10M-iteration benchmark shows chainable equal or slightly faster),"Chainable vector methods proposed; micro-benchmark showed returning `this` is not slower (marginally faster), so change was merged.",
25,https://github.com/mrdoob/three.js/issues/25,webgl renderer has gotten very slow?,CLOSED,2010-11-15,2010-12-02,Bug,perf_regression_report,cause_asserted_unverified,,3,SPC-08; DBD-03; SPC-01,shader_program_compilation; device_browser_driver; shader_program_compilation,speculative; reporter_asserted; speculative,hypothetical; observed_cost; hypothetical,0,,"WebGL renderer became much slower after the multi-light commit, but only on an old ATI Radeon HD 2600 on OS X; attributed to shader complexity/uniform-bounded loops rubbing the GPU driver the wrong way.","""for multilights I use uniforms as loop boundaries. This is supposed to be supported in GPUs only since some time"" — alteredq is a maintainer but frames it as a suspicion (""I suspect what what could be going on""), never confirmed || ""the only one having this problem is my old MacBookPro with an ATI Radeon HD 2600 Pro""; ""old three.js webgl - 100 fps"" vs ""new three.js webgl - 30 fps"" — numbers show slowdown but do not isolate the driver mechanism || ""shader will be compiled to handle default of 1 directional + 4 point lights (which will be empty, but code may be executed anyways)"" — hedged with ""may be executed"""
36,https://github.com/mrdoob/three.js/issues/36,Matrix4 ⟶ Float32Array,CLOSED,2010-11-30,2010-12-02,Question,perf_feature_request,cause_established,,3,CAH-10; PFAG-01; MWU-03,core_algorithmic_hotpath; per_frame_allocation_gc; matrix_world_updates,reporter_asserted; maintainer_confirmed; maintainer_confirmed,proposed_optimization; proposed_optimization; hypothetical,0,,"Proposal to back Matrix4/Vector with typed arrays; jsperf shows object-based matrix math much slower, GC churn from allocating temporaries identified, and gero3's optimizations landed a ~22% win.","body: ""having it object based is 80-90% slower"" || alteredq: ""Biggest point for fast math in JS is not creating / destroying objects / arrays all the time and cache access."" || alteredq: ""Per-object math (modelview and normal matrix) is computed in JS.   So this can indeed become a bottleneck when you have many objects."""
37,https://github.com/mrdoob/three.js/issues/37,Crowd-source example performance,CLOSED,2010-11-30,2010-12-02,,perf_feature_request,no_mechanism,,0,,,,,0,,Suggestion to crowd-source FPS statistics from examples; closed by maintainer without discussing any cost mechanism.,
43,https://github.com/mrdoob/three.js/issues/43,Implement depth buffering in CanvasRenderer,CLOSED,2010-12-02,2010-12-02,,perf_feature_request,cause_established,,1,RTP-03,render_target_postprocessing,maintainer_confirmed,hypothetical,0,,Request for a depth buffer in CanvasRenderer instead of painter's-algorithm sorting; mrdoob argues a depth pass plus per-pixel sorting would be prohibitively expensive in canvas 2D.,"mrdoob: ""The DepthMaterial alone requires drawing the whole scene twice. Using bitmap draws, that would decrease the performance by 90% at least."""
60,https://github.com/mrdoob/three.js/issues/60,Rotation with cube !,CLOSED,2010-12-16,2011-01-13,Question,perf_question_or_help,incidental,,0,,,,,0,,Question about snapping cube rotation to a face; an aside notes that face subdivision for correct texture interpolation in canvas is very costly.,
63,https://github.com/mrdoob/three.js/issues/63,COLLADA import?,CLOSED,2010-12-21,2011-09-03,Enhancement,perf_feature_request,incidental,,0,,,,,0,,COLLADA import request; performance mentioned only as an aside praising three.js over O3D and asking about shadow maps.,
79,https://github.com/mrdoob/three.js/issues/79,WebGLRenderer: Update geometry?,CLOSED,2011-01-05,2011-02-12,Question,perf_question_or_help,cause_established,,4,GBU-01; GBU-02; GBU-09; GBU-06,geometry_buffer_updates; geometry_buffer_updates; geometry_buffer_updates; geometry_buffer_updates,maintainer_confirmed; measured; measured; measured,observed_cost; observed_cost; observed_cost; observed_cost,0,,"How to update geometry per frame; deleting/recreating VBOs each frame allocates GPU buffers per frame and leaks, and profiling showed the real bottleneck is converting three.js geometry structures into typed arrays in setBuffers.","mrdoob: ""it's allocating buffers on the gpu per frame"" || alteredq: ""Bottleneck seems to be translation from Three.js internal data formats into typed arrays (loops in `WebGLRenderer.setBuffers`)."" || alteredq: ""Looks like factor of 10 drop in performance"" || alteredq: ""When updating also normals, there is a big performance drop to ~7.5K vertices at 60 fps."""
90,https://github.com/mrdoob/three.js/issues/90,WebGL renderer for inside sides of a sphere,CLOSED,2011-01-15,2011-01-17,Question,perf_question_or_help,cause_established,,1,CASI-05,culling_and_spatial_index,maintainer_confirmed,observed_cost,0,,"Rendering the inside of a sphere; resolved via face culling / flipSided. Aside establishes that in the Minecraft demo hand-made face culling avoids uploading unneeded geometry, which is the bottleneck.","mrdoob: ""The reason of doing the culling handmade in that case is to avoid sending unneeded geometry to the graphics card. At that level you can gain a lot of fps."" and alteredq: ""It seems in this demo bottleneck is geometry"""
92,https://github.com/mrdoob/three.js/issues/92,MeshBasicMaterial with both stroke and fill,CLOSED,2011-01-17,2011-03-30,Question,perf_feature_request,cause_established,,1,TUD-12,texture_upload_decode,maintainer_confirmed,hypothetical,0,,Request for stroke+fill materials; solved by multi-material mesh. Asides about thick lines in WebGL and canvas texture cost.,"alteredq: ""there textures are expensive and lines are nice"""
